COUNTY AREA TOTAL DEM REP Hayes Others
COUNTY AREA TOTAL Mills Moody Hayes Others
PIS "Barnard/Ebeemee/T4 R9 NWP/Williamsburg Twps (Brownville)" 98 32 56 7 0
PIS "Beaver Cove" 99 35 56 4 0
PIS Bowerbank 92 27 60 2 0
PIS Brownville 481 200 229 32 0
PIS Dover-Foxcroft 1791 725 880 117 0
PIS "Elliotsville Twp (Monson)" 15 10 5 0 0
PIS Greenville 956 366 507 56 0
PIS Guilford 548 213 288 31 0
PIS "Kingsbury Plt" 23 8 13 2 0
PIS "Lake View Plt" 74 31 40 3 0
PIS Medford 108 35 60 10 0
PIS Milo 894 354 462 53 0
PIS Monson 371 133 208 25 0
PIS Parkman 385 133 210 28 0
PIS Sangerville 564 204 323 26 0
PIS Sebec 330 97 212 15 0
PIS Shirley 123 36 78 9 0
PIS Wellington 89 48 36 4 0
PIS Willimantic 76 22 53 1 0
SAG Arrowsic 332 225 85 13 0
SAG Bath 4216 2633 1213 257 15
SAG Bowdoin 1513 530 859 100 1
SAG Bowdoinham 1678 870 679 94 1
SAG Georgetown 707 407 260 24 0
SAG Phippsburg 1310 622 593 64 1
SAG Richmond 1643 695 796 109 0
SAG Topsham 5230 2860 1881 364 1
SAG "West Bath" 1144 552 492 69 0
SAG Woolwich 1770 758 856 116 0
SOM Anson 902 348 480 54 0
SOM Athens 385 154 205 17 0
SOM Bingham 447 180 222 27 0
SOM "Brighton Plt" 40 13 19 4 0
SOM "Concord Twp (Solon)" 1 0 1 0 0
SOM Cambridge 188 54 125 6 3
SOM Canaan 851 305 471 52 0
SOM Caratunk 45 11 29 1 0
SOM Cornville 588 240 317 21 0
SOM "Dennistown Plt" 19 4 13 0 0
SOM Detroit 323 135 161 22 0
SOM Embden 444 174 235 28 0
SOM Fairfield 2633 1178 1238 150 0
SOM Harmony 389 122 229 28 0
SOM Hartland 682 208 410 51 0
SOM "Highland Plt" 102 31 56 12 0
SOM Jackman 417 110 273 19 0
SOM "Lexington/Spring Lake Twps" 24 6 17 1 0
SOM Madison 1875 766 953 119 0
SOM Mercer 369 155 192 17 1
SOM "Moose River" 87 15 66 4 0
SOM Moscow 203 77 113 10 0
SOM "New Portland" 371 160 173 30 0
SOM Norridgewock 1448 603 724 86 0
SOM Palmyra 873 251 538 57 0
SOM Pittsfield 1593 635 823 97 0
SOM "Pleasant Ridge Plt" 42 17 21 3 0
SOM Ripley 220 88 118 11 0
SOM "Rockwood Strip Twp" 175 46 117 8 0
SOM "Saint Albans" 907 261 568 60 2
SOM Skowhegan 3281 1548 1483 146 0
SOM Smithfield 520 238 257 18 0
SOM Solon 489 225 231 18 0
SOM Starks 289 130 132 22 0
SOM "The Forks Plt" 38 16 18 2 0
SOM "West Forks Plt" 44 20 20 3 0
WAL Belfast 3623 2342 1006 171 0
WAL Belmont 474 209 214 35 0
WAL Brooks 499 204 272 15 0
WAL Burnham 517 211 276 18 0
WAL Frankfort 542 190 294 40 0
WAL Freedom 380 166 178 29 0
WAL Islesboro 386 285 83 16 0
WAL Jackson 271 121 132 11 0
WAL Knox 380 124 220 24 0
WAL Liberty 469 206 205 42 0
WAL Lincolnville 1398 833 470 66 0
WAL Monroe 522 279 213 20 1
WAL Montville 537 288 215 28 0
WAL Morrill 506 208 259 29 0
WAL Northport 929 520 360 37 0
WAL Palermo 770 282 432 44 0
WAL Prospect 336 131 170 16 0
WAL Searsmont 753 370 320 51 0
WAL Searsport 1266 626 532 70 0
WAL "Stockton Springs" 909 450 396 48 0
WAL Swanville 700 278 361 44 0
WAL Thorndike 383 183 156 28 3
WAL Troy 460 196 226 26 0
WAL Unity 787 383 315 52 1
WAL Waldo 414 194 183 26 0
WAL Winterport 1873 830 909 97 0
WAS Addison 552 221 298 26 0
WAS Alexander 242 74 154 7 1
WAS "Berry/Cathance/MarionTwps (East Machias)" 45 19 26 0 0
WAS Baileyville 536 217 283 24 0
WAS "Baring Plt" 86 41 38 5 0
WAS Beals 218 82 125 5 0
WAS Beddington 33 11 21 0 0
WAS "Centerville Twp (Columbia Falls)" 13 6 6 0 0
WAS Calais 1173 488 546 87 0
WAS Charlotte 171 63 91 8 0
WAS Cherryfield 519 196 282 29 0
WAS Columbia 175 49 106 14 0
WAS "Columbia Falls" 244 87 139 13 0
WAS Cooper 91 33 54 4 0
WAS Crawford 57 15 39 3 0
WAS Cutler 248 79 153 10 0
WAS Danforth 298 79 180 25 0
WAS Deblois 26 7 18 1 0
WAS "Dennysville (and Edmunds Twp)" 255 105 115 23 0
WAS "East Machias" 582 251 283 31 0
WAS Eastport 692 411 226 39 0
WAS "Grand Lake Stream Plt" 83 28 46 7 0
WAS Harrington 384 126 231 20 0
WAS "Indian Township" 152 76 34 30 0
WAS Jonesboro 257 118 128 8 0
WAS Jonesport 543 216 286 22 0
WAS Lubec 710 410 243 38 0
WAS Machias 744 383 288 43 0
WAS Machiasport 418 210 179 17 0
WAS Marshfield 244 104 132 5 0
WAS Meddybemps 90 29 55 6 0
WAS Milbridge 520 239 241 26 2
WAS Northfield 92 41 43 7 0
WAS Pembroke 381 173 176 22 0
WAS Perry 404 177 193 25 0
WAS "Pleasant Point Voting District" 160 81 29 34 0
WAS Princeton 353 108 214 26 0
WAS Robbinston 277 113 141 15 0
WAS "Roque Bluffs" 154 89 51 7 0
WAS Steuben 495 191 274 14 0
WAS "T10 SD Twp (Cherryfield, Franklin & Milbridge)" 10 2 7 1 0
WAS "T26 ED BPP Twp (Wesley)" 0 0 0 0 0
WAS "T7 SD Twp (Steuben)" 5 2 2 1 0
WAS Talmadge 32 13 18 1 0
WAS Topsfield 100 17 75 7 0
