COUNTY AREA TOTAL DEM REP WI
COUNTY AREA TOTAL Siegelman James WRITEIN
Clarke "0120 Jackson Fire Station #2" 0 179 243 1
Clarke "0130 Salitpa-Alabama Sandblasting" 0 89 30 0
Clarke "0140 Winn & Zimco Fire Station" 0 143 48 1
Clarke "0150 Grove Hill Courthouse" 0 172 175 3
Clarke "0160 Antioch Fire Station" 0 135 102 0
Clarke "0180 Hellwestern Fire Station" 0 60 130 0
Clarke "0190 Grove Hill City Hall" 0 151 236 0
Clarke "0225 Whatley Garricks Store" 0 103 44 0
Clarke "0226 Grove Hill National Guard Armory" 0 180 54 0
Clarke "0230 Coffeeville High School" 0 263 224 0
Clarke "0270 Thomasville National Guard Armory" 0 620 275 1
Clarke "0290 Hopewell Church - Chilton" 0 16 53 0
Clarke "0300 Tallahatta Spr. Community House" 0 27 66 0
Clarke "0310 Nettlesboro Fire Station" 0 67 56 0
Clarke "0320 Old Fulton School" 0 253 219 2
Clarke "0330 Morvin Voting House" 0 96 22 0
Clarke "0350 Bashi Methodist Church" 0 41 34 0
Clarke "0360 Thomasville New Fire Station" 0 202 287 1
Clarke "0370 Thomasville Fire Station #2" 0 97 241 1
Clarke "0380 Springfield - Bobby Kelleys" 0 37 134 1
Clarke "9001 Absentee Voters" 0 61 102 0
Clay "0101 Highlnd/Coppermn" 0 62 36 0
Clay "0201 Delta Community" 0 108 77 0
Clay "0301 Barfield" 0 209 159 0
Clay "0401 Lineville" 0 173 132 0
Clay "0601 Highlnd/Coppermn" 0 86 79 0
Clay "0602 Idaho" 0 73 82 0
Clay "0701 Hipine" 0 41 51 0
Clay "0801 Millerville" 0 66 59 0
Clay "0802 Coleta Valley" 0 39 63 0
Clay "0901 Tri-Community" 0 54 66 0
Clay "1001 Hollins Community" 0 109 87 0
Clay "1101 Mellow Valley" 0 21 24 0
Clay "1102 Mellow Valley" 0 75 122 0
Clay "1201 Cragford" 0 72 76 0
Clay "1301 Lineville" 0 177 131 0
Clay "1401 Bluff Springs" 0 130 129 0
Clay "1601 Ashland" 0 340 288 0
Clay "1701 Ashland" 0 80 99 0
Clay "1801 Ashland" 0 42 53 0
Clay "2101 Lineville" 0 250 64 0
Clay "2201 Ashland" 0 182 61 0
Clay "2301 Millerville" 0 91 68 0
Clay "2401 Tri-Community" 0 55 36 0
Clay "Absentee Votes" 0 123 80 0
Cleburne 1-1 0 51 25 0
Cleburne 2-1 0 95 47 0
Cleburne 3-1 0 105 54 0
Cleburne 4-1 0 116 84 0
Cleburne 4-2 0 0 0 0
Cleburne 6-1 0 803 462 0
Cleburne 6-2 0 0 0 0
Cleburne 6-3 0 0 0 0
Cleburne 6-4 0 0 0 0
Cleburne 6-5 0 0 0 0
Cleburne 6-6 0 0 0 0
Cleburne 7-1 0 132 82 0
Cleburne 8-1 0 56 48 0
Cleburne 8-2 0 52 90 0
Cleburne 9-1a 0 172 141 0
Cleburne 9-1b 0 0 0 0
Cleburne 9-2 0 265 246 0
Cleburne 9-3 0 0 0 0
Cleburne 9-4 0 0 0 0
Cleburne 10-1 0 89 38 0
Cleburne 11-1 0 55 36 0
Cleburne 11-2 0 33 44 0
Cleburne 12-1 0 253 195 0
Cleburne 12-2 0 0 0 0
Cleburne 12-3 0 61 52 0
Cleburne 15-1 0 112 66 0
Cleburne Absentee 0 55 20 0
Coffee "0010 Danleys Crossroads" 0 68 63 0
Coffee "0020 Lee Community" 0 62 47 0
Coffee "0030 Newby" 0 39 22 0
Coffee "0040 Bluff Springs" 0 28 13 0
Coffee "0050 National Guard Armory" 0 405 346 1
Coffee "0060 Zion Chapel" 0 113 91 0
Coffee "0070 Pine Level" 0 57 38 0
Coffee "0080 Basin" 0 60 47 0
Coffee "0090 Wise Mill" 0 40 57 1
Coffee "0100 Matthews Store" 0 58 32 0
Coffee "0110 New Brockton Farm Center" 0 188 225 0
Coffee "0120 Victoria" 0 129 84 0
Coffee "0130 Chestnut Grove" 0 34 61 0
Coffee "0140 Frisco" 0 159 127 0
Coffee "0150 Eanon" 0 93 124 1
Coffee "0160 Heritage Church - Enterprise" 0 336 284 1
Coffee "0170 Perrys Store" 0 73 75 0
Coffee "0180 Elba Reserve Armory" 0 298 300 2
Coffee "0190 Pleasant Ridge" 0 136 191 0
Coffee "0200 Ino Community" 0 59 80 0
Coffee "0210 Holleys Store" 0 27 15 0
Coffee "0220 Damascus" 0 183 182 1
Coffee "0230 Kinston" 0 94 110 1
Coffee "0240 Goodman" 0 145 150 0
Coffee "0250 Mount Pleasant" 0 186 237 0
Coffee "0260 Cool Springs" 0 133 154 0
Coffee "0270 Enterprise Civic Center" 0 371 371 2
Coffee "0280 Fairview" 0 18 15 0
Coffee "0290 Elba Mulberry Heights" 0 186 18 1
Coffee "0300 New Brockton National Guard" 0 189 76 0
Coffee "0310 Enterprise Army Reserve Center 1" 0 433 92 0
Coffee "0311 Enterprise Army Reserve Cntr.#2" 0 364 102 0
Coffee "0320 Enterprise YMCA 1" 0 585 708 1
Coffee "0321 Enterprise YMCA 2" 0 181 247 0
Coffee "0330 Enterprise Recreation Center 1" 0 550 845 5
Coffee "0331 Enterprise Recreation Center 2" 0 358 524 2
Coffee "9001 Absentee Votes" 0 171 180 0
Colbert "1-1 Brick" 0 448 339 1
Colbert "1-2 Hatton School" 0 411 161 0
Colbert "2-1 Tuscumbia Demonstation Bldg." 0 211 147 0
Colbert "2-2 Tuscumbia Utilities Bldg." 0 597 181 1
Colbert "2-3 Tuscumbia Multi-purpose Center" 0 440 343 1
Colbert "2-4 Hope Haven" 0 346 307 0
Colbert "2-5 Thompson School" 0 129 111 0
Colbert "3-1 Barton First Baptist Church" 0 312 142 2
Colbert "4-1 Colonial Bank" 0 290 191 0
Colbert "4-2 Cherokee City Hall" 0 143 113 2
Colbert "6-1 Margerum Methodist Church" 0 117 65 0
Colbert "7-1 Rock Creek Booth" 0 31 44 0
Colbert "8-1 HWY 247 Fire Dept." 0 45 53 0
Colbert "9-1 New Bethel Fire Department" 0 220 180 1
Colbert "10-1 LaGrange Fire Department" 0 170 161 0
Colbert "11-1 Leighton Civic Center" 0 329 189 0
Colbert "11-2 Leighton Fire Station" 0 205 44 0
