COUNTY AREA TOTAL DEM REP LIB GRN Writein
COUNTY AREA TOTAL Hegar Cornyn McKennon Collins Writein
Harris 494 0 1402 333 33 23 0
Harris 495 0 793 1282 31 12 0
Harris 496 0 878 552 31 19 0
Harris 497 0 1097 96 18 13 0
Harris 498 0 1089 540 45 13 0
Harris 499 0 724 1288 23 6 0
Harris 500 0 1177 1577 61 23 0
Harris 501 0 1195 650 32 7 0
Harris 502 0 377 1484 33 8 0
Harris 503 0 625 1474 34 8 0
Harris 504 0 818 1059 35 10 0
Harris 505 0 1691 1089 60 22 0
Harris 506 0 1934 458 38 25 0
Harris 507 0 627 374 20 11 0
Harris 508 0 1558 1119 43 40 0
Harris 509 0 1553 2155 81 47 0
Harris 510 0 1709 991 62 23 0
Harris 511 0 3098 4025 102 24 0
Harris 512 0 1817 1222 74 41 0
Harris 513 0 839 1519 31 8 0
Harris 514 0 1145 1994 70 19 0
Harris 515 0 721 1799 24 7 0
Harris 516 0 1023 928 30 14 0
Harris 517 0 1427 1148 44 32 0
Harris 518 0 1398 1618 54 24 0
Harris 519 0 798 1243 42 14 0
Harris 520 0 2316 458 69 33 0
Harris 521 0 1164 927 42 18 0
Harris 522 0 710 1490 30 11 0
Harris 523 0 1156 1268 78 19 1
Harris 524 0 1549 731 44 23 0
Harris 525 0 1633 530 41 17 0
Harris 526 0 303 128 6 3 0
Harris 527 0 128 115 0 2 0
Harris 528 0 33 2 2 0 0
Harris 529 0 599 2299 62 16 0
Harris 530 0 379 177 13 5 0
Harris 531 0 403 1264 17 3 0
Harris 532 0 230 428 13 4 0
Harris 533 0 281 312 8 5 0
Harris 534 0 831 1900 44 10 0
Harris 535 0 114 90 3 2 0
Harris 536 0 2244 1721 69 45 0
Harris 537 0 818 1938 19 13 0
Harris 538 0 545 29 8 5 0
Harris 539 0 640 597 28 11 0
Harris 540 0 1445 567 31 6 0
Harris 541 0 2870 531 54 36 0
Harris 542 0 1435 192 31 21 0
Harris 543 0 586 314 20 22 0
Harris 544 0 113 18 2 4 0
Harris 545 0 1666 1716 58 28 0
Harris 546 0 429 1601 26 3 0
Harris 547 0 634 1113 40 14 0
Harris 548 0 837 676 35 25 0
Harris 549 0 1407 310 34 15 0
Harris 550 0 1137 631 44 24 0
Harris 551 0 1300 2935 67 14 0
Harris 552 0 771 2436 68 14 0
Harris 553 0 1158 772 37 30 1
Harris 554 0 739 242 14 15 0
Harris 555 0 816 224 15 13 0
Harris 556 0 969 416 26 12 0
Harris 557 0 948 731 28 15 0
Harris 558 0 1935 1000 68 28 0
Harris 559 0 2335 659 70 30 0
Harris 560 0 372 151 7 8 0
Harris 561 0 745 1184 56 15 0
Harris 562 0 293 57 5 4 0
Harris 563 0 742 1759 35 5 0
Harris 564 0 2047 537 51 28 0
Harris 565 0 397 158 9 5 0
Harris 566 0 1283 480 49 21 0
Harris 567 0 1038 482 24 14 0
Harris 568 0 1229 1549 40 18 0
Harris 569 0 1986 1422 64 22 0
Harris 570 0 803 320 19 8 0
Harris 571 0 543 321 15 12 2
Harris 572 0 1462 820 43 17 0
Harris 573 0 757 41 16 6 0
Harris 574 0 141 40 1 5 0
Harris 575 0 1558 1510 60 16 0
Harris 576 0 1465 166 30 20 0
Harris 577 0 693 877 17 8 0
Harris 578 0 712 842 18 9 0
Harris 579 0 410 141 11 12 0
Harris 580 0 455 42 6 6 0
Harris 581 0 520 33 7 5 0
Harris 582 0 730 84 17 7 0
Harris 583 0 568 47 4 3 0
Harris 584 0 436 56 12 8 0
Harris 585 0 1040 126 30 14 0
Harris 586 0 1385 1428 64 24 1
Harris 587 0 1511 661 45 21 0
Harris 588 0 1258 1650 73 23 0
Harris 589 0 1486 1060 64 35 0
Harris 590 0 489 1205 24 7 0
Harris 591 0 721 376 23 11 0
Harris 592 0 626 226 19 13 0
Harris 593 0 1554 1402 58 29 0
Harris 594 0 1188 420 30 18 0
Harris 595 0 832 201 25 15 0
Harris 596 0 1277 913 62 21 0
Harris 597 0 1417 859 61 19 0
Harris 598 0 2558 1400 92 38 0
Harris 599 0 1620 715 51 23 0
Harris 600 0 1788 1001 40 26 0
Harris 601 0 1060 2140 55 10 0
Harris 602 0 416 781 21 5 0
Harris 603 0 1849 1996 87 26 0
Harris 604 0 431 2157 45 10 0
Harris 605 0 1804 744 48 53 0
Harris 606 0 417 25 11 3 0
Harris 607 0 450 58 11 7 0
Harris 608 0 173 112 7 7 0
Harris 609 0 1423 1778 44 17 0
Harris 610 0 758 587 25 12 0
Harris 611 0 1139 88 32 10 0
Harris 612 0 747 1816 42 11 0
Harris 613 0 1236 378 40 22 0
Harris 614 0 2029 940 43 27 0
Harris 615 0 914 759 21 23 0
Harris 616 0 1151 1595 81 27 0
Harris 617 0 1837 919 70 20 0
Harris 618 0 1629 1094 82 25 1
Harris 619 0 1325 2503 75 23 0
Harris 620 0 1376 1235 34 16 0
Harris 621 0 547 406 15 5 0
Harris 622 0 1559 1750 48 32 0
Harris 623 0 1376 1574 57 24 1
Harris 624 0 273 619 18 1 0
Harris 625 0 776 710 22 9 0
Harris 626 0 1834 1594 57 24 0
Harris 627 0 1148 589 33 23 0
Harris 628 0 824 546 37 18 0
Harris 629 0 285 31 8 3 0
Harris 630 0 3616 425 68 44 0
Harris 631 0 933 1335 33 17 0
Harris 632 0 3 0 0 0 0
Harris 633 0 1203 1974 60 23 0
Harris 634 0 1062 1117 40 19 0
Harris 635 0 748 1623 61 16 0
Harris 636 0 489 3338 80 19 0
Harris 637 0 1209 478 40 15 0
Harris 638 0 1170 154 16 18 0
