COUNTY AREA TOTAL DEM REP LIB UPC
COUNTY AREA TOTAL Polis Stapleton Helker Hammons
Arapahoe 6284003463 0 533 435 18 14
Arapahoe 6284003464 0 344 224 26 6
Arapahoe 6284003472 0 401 211 20 10
Arapahoe 6284003473 0 618 310 21 14
Arapahoe 6284103301 0 259 141 12 4
Arapahoe 6284103420 0 760 326 28 16
Arapahoe 6284103421 0 266 149 4 3
Arapahoe 6284103422 0 285 165 14 5
Arapahoe 6284103427 0 661 399 17 5
Arapahoe 6284103428 0 476 211 29 9
Arapahoe 6284103429 0 388 171 18 6
Arapahoe 6284103430 0 503 198 18 10
Arapahoe 6284103431 0 279 132 14 5
Arapahoe 6284103432 0 511 200 24 16
Arapahoe 6284103433 0 399 205 15 2
Arapahoe 6284103437 0 597 289 19 17
Arapahoe 6284103438 0 380 280 23 12
Arapahoe 6284103439 0 370 288 19 6
Arapahoe 6284103440 0 371 338 17 9
Arapahoe 6284103441 0 365 366 14 1
Arapahoe 6284103444 0 241 177 14 5
Arapahoe 6284103445 0 238 191 16 4
Arapahoe 6284103465 0 238 199 9 5
Arapahoe 6284103466 0 335 247 32 6
Arapahoe 6284103467 0 356 233 19 9
Arapahoe 6284103468 0 323 222 12 15
Arapahoe 6284103469 0 279 128 15 6
Arapahoe 6284103470 0 451 196 20 15
Arapahoe 6284103471 0 387 244 19 6
Arapahoe 6284203434 0 504 202 16 5
Arapahoe 6284203435 0 525 263 18 11
Arapahoe 6284203436 0 610 136 23 17
Arapahoe 6285603352 0 493 356 28 10
Arapahoe 6285603373 0 507 473 18 3
Arapahoe 6285603378 0 501 424 14 7
Arapahoe 6293603345 0 177 144 8 2
Arapahoe 6293603346 0 467 467 16 17
Arapahoe 6293603347 0 281 232 16 2
Arapahoe 6293603360 0 107 76 7 7
Arapahoe 6293603374 0 605 500 41 14
Arapahoe 6293603381 0 573 461 27 17
Arapahoe 6293603474 0 282 119 13 4
Arapahoe 6293603537 0 494 148 18 10
Arapahoe 6293603538 0 468 245 22 11
Arapahoe 6293603539 0 444 200 19 13
Arapahoe 6293603540 0 255 159 21 8
Arapahoe 6293603541 0 312 126 14 7
Arapahoe 6293603542 0 235 61 8 7
Arapahoe 6293603543 0 421 171 23 13
Arapahoe 6293603544 0 424 119 15 9
Arapahoe 6293603545 0 157 41 3 1
Arapahoe 6293603546 0 414 212 19 17
Arapahoe 6293603547 0 354 253 14 11
Arapahoe 6293603548 0 137 45 7 9
Arapahoe 6293603549 0 162 86 17 6
Arapahoe 6293603550 0 25 24 0 1
Arapahoe 6293603551 0 262 106 19 6
Arapahoe 6293603552 0 374 103 16 3
Arapahoe 6293603553 0 529 231 14 12
Arapahoe 6293603554 0 483 212 23 10
Arapahoe 6293603555 0 387 148 17 12
Arapahoe 6293603556 0 459 301 29 18
Arapahoe 6293603557 0 650 361 37 18
Arapahoe 6293603558 0 385 203 25 8
Arapahoe 6293603559 0 324 228 14 3
Arapahoe 6293603560 0 199 77 8 7
Arapahoe 6294203503 0 726 170 31 13
Arapahoe 6294203504 0 412 119 8 6
Arapahoe 6294203505 0 348 105 23 9
Arapahoe 6294203506 0 480 134 26 11
Arapahoe 6294203507 0 364 114 14 11
Arapahoe 6294203508 0 282 89 17 5
Arapahoe 6294203509 0 285 125 10 8
Arapahoe 6294203510 0 338 176 9 1
Arapahoe 6294203511 0 401 92 12 8
Arapahoe 6294203512 0 436 116 28 7
Arapahoe 6294203513 0 449 98 13 6
Arapahoe 6294203514 0 296 88 11 7
Arapahoe 6294203515 0 440 192 15 3
Arapahoe 6294203516 0 295 140 15 9
Arapahoe 6294203517 0 311 129 10 11
Arapahoe 6294203518 0 322 92 9 4
Arapahoe 6294203519 0 332 113 15 5
Arapahoe 6294203520 0 376 218 14 9
Arapahoe 6294203521 0 327 150 15 3
Arapahoe 6294203522 0 387 212 25 5
Arapahoe 6294203523 0 548 285 20 13
Arapahoe 6294203524 0 334 156 13 5
Arapahoe 6294203525 0 349 148 13 7
Arapahoe 6294203526 0 350 103 6 17
Arapahoe 6294203527 0 408 136 15 9
Arapahoe 6294203528 0 166 68 9 4
Arapahoe 6294203529 0 145 41 10 6
Arapahoe 6294203530 0 331 94 19 10
Arapahoe 6294203531 0 332 141 11 9
Arapahoe 6294203532 0 463 107 9 11
Arapahoe 6294203533 0 563 197 16 15
Arapahoe 6294203534 0 397 64 11 5
Arapahoe 6294203535 0 403 171 18 8
Arapahoe 6294203536 0 271 62 14 7
Arapahoe 6295603326 0 415 821 15 6
Arapahoe 6295603327 0 373 378 21 3
Arapahoe 6295603329 0 440 351 26 13
Arapahoe 6295603330 0 668 565 18 8
Arapahoe 6295603353 0 399 401 14 5
Arapahoe 6295603354 0 568 645 20 2
Arapahoe 6295603355 0 835 706 35 18
