COUNTY AREA TOTAL DEM REP None ACN Green LBT PSL None
COUNTY AREA TOTAL Biden Trump Boddie Cummings Hawkins Jorgensen LaRiva Simmons
Maricopa "0087 CARL" 0 200 93 0 0 0 7 0 0
Maricopa "0088 CARLA VISTA" 0 132 121 0 0 0 4 0 0
Maricopa "0089 CAROL ANN" 0 82 228 0 0 0 9 0 0
Maricopa "0090 CARON" 0 67 155 0 0 0 2 0 0
Maricopa "0091 CARRIAGE LANE" 0 64 152 0 0 0 12 0 0
Maricopa "0092 CARVER" 0 94 90 0 0 0 7 0 0
Maricopa "0093 CASHION" 0 271 206 0 0 0 11 0 0
Maricopa "0094 CATAMARAN" 0 36 139 0 0 0 4 0 0
Maricopa "0095 CAVE BUTTES" 0 88 220 0 0 0 5 0 0
Maricopa "0096 CAVE CREEK" 0 24 175 0 0 0 4 0 0
Maricopa "0097 CELAYA" 0 209 137 0 0 0 15 0 0
Maricopa "0098 CENTENNIAL" 0 80 88 0 0 0 5 0 0
Maricopa "0099 CENTRAL HIGH" 0 146 83 0 0 0 7 0 0
Maricopa "0100 CHALLENGER" 0 172 78 0 0 0 4 0 0
Maricopa "0101 CHANDLER HEIGHTS" 0 60 178 0 0 0 0 0 0
Maricopa "0102 CHAVEZ" 0 92 32 0 0 0 1 0 0
Maricopa "0103 CHEATHAM" 0 284 141 0 0 0 14 0 0
Maricopa "0104 CHENEY" 0 31 116 0 0 0 3 0 0
Maricopa "0105 CHILTON" 0 58 106 0 0 0 6 0 0
Maricopa "0106 CHOLLA" 0 145 179 0 0 0 9 0 0
Maricopa "0107 CHRISTY" 0 37 111 0 0 0 4 0 0
Maricopa "0108 CIELO" 0 53 129 0 0 0 2 0 0
Maricopa "0109 CIELO GRANDE" 0 75 140 0 0 0 4 0 0
Maricopa "0110 CITRUS" 0 64 83 0 0 0 5 0 0
Maricopa "0111 CITRUS GARDENS" 0 95 131 0 0 0 7 0 0
Maricopa "0112 CITRUS GROVES" 0 45 185 0 0 0 7 0 0
Maricopa "0113 CLAY MINE" 0 3 34 0 0 0 0 0 0
Maricopa "0114 CLEARVIEW" 0 33 115 0 0 0 2 0 0
Maricopa "0115 CLEARWATER" 0 9 40 0 0 0 0 0 0
Maricopa "0116 CLIFFVIEW" 0 20 32 0 0 0 1 0 0
Maricopa "0117 CLOUD" 0 72 211 0 0 0 2 0 0
Maricopa "0118 CLOVER" 0 40 61 0 0 0 4 0 0
Maricopa "0119 CLUB WEST" 0 92 212 0 0 0 6 0 0
Maricopa "0120 COCOPAH" 0 30 110 0 0 0 3 0 0
Maricopa "0121 COLDWATER RIDGE" 0 187 141 0 0 0 8 0 0
Maricopa "0122 COLONIA" 0 128 243 0 0 0 7 0 0
Maricopa "0123 COLONNADE" 0 58 98 0 0 0 6 0 0
Maricopa "0124 COLTER" 0 69 55 0 0 0 1 0 0
Maricopa "0125 COMET" 0 71 170 0 0 0 10 0 0
Maricopa "0126 COMMONWEALTH" 0 115 111 0 0 0 5 0 0
Maricopa "0127 COMPADRE" 0 109 222 0 0 0 5 0 0
Maricopa "0128 COMSTOCK" 0 27 76 0 0 0 3 0 0
Maricopa "0129 CONCORD" 0 37 92 0 0 0 5 0 0
Maricopa "0130 CONQUISTADOR" 0 1 25 0 0 0 0 0 0
Maricopa "0131 CONTENTION MINE" 0 38 72 0 0 0 4 0 0
Maricopa "0132 COPPER HILLS" 0 27 99 0 0 0 3 0 0
Maricopa "0133 COPPERWOOD" 0 51 97 0 0 0 4 0 0
