COUNTY AREA TOTAL DEM REP LIB
COUNTY AREA TOTAL Tester Rosendale Breckenridge
Richland "PRECINCT 08" 0 139 358 21
Richland "PRECINCT 09" 0 54 181 5
Richland "PRECINCT 12" 0 135 340 31
Richland "PRECINCT 17" 0 30 90 6
Richland "PRECINCT 19" 0 29 74 4
Richland "PRECINCT 22" 0 99 341 13
Richland "PRECINCT 23" 0 138 506 23
Roosevelt "02 BAINVILLE" 0 45 159 9
Roosevelt "10 FROID" 0 62 101 8
Roosevelt "12 CULBERTSON" 0 152 292 5
Roosevelt "15 BROCKTON" 0 132 10 4
Roosevelt "16 EAST POPLAR RURAL" 0 216 38 4
Roosevelt "17 NORTH POPLAR MINERAL BENCH" 0 45 50 6
Roosevelt "18 POPLAR" 0 520 121 15
Roosevelt "22 EAST & NE WOLF POINT RURAL" 0 99 83 5
Roosevelt "24 WOLF POINT SOUTHSIDE" 0 245 90 12
Roosevelt "26 WOLF POINT NORTHSIDE" 0 244 240 16
Roosevelt "27 WEST WOLF POINT RURAL" 0 237 64 3
Roosevelt "28 NORTH WOLF POINT RURAL (VICTORY)" 0 16 98 1
Rosebud "PRECINCT 10" 0 34 101 5
Rosebud "PRECINCT 11" 0 9 74 5
Rosebud "PRECINCT 15" 0 482 35 1
Rosebud "PRECINCT 17" 0 193 81 3
Rosebud "PRECINCT 20" 0 48 143 6
Rosebud "PRECINCT 21" 0 28 92 4
Rosebud "PRECINCT 26" 0 13 48 1
Rosebud "PRECINCT 3" 0 189 261 13
Rosebud "PRECINCT 30" 0 124 206 13
Rosebud "PRECINCT 32" 0 234 469 24
Rosebud "PRECINCT 6" 0 133 231 16
Rosebud "PRECINCT 7" 0 24 24 0
Sanders 1-HERON-HD13 0 95 229 12
Sanders 2-NOXON-HD13 0 136 276 17
Sanders "3-TROUT CREEK-HD13" 0 256 597 25
Sanders "4-T FALLS-HD13" 0 338 599 35
Sanders "5-T FALLS-HD13" 0 339 659 45
Sanders 6-PLAINS-HD14 0 280 692 37
Sanders 7-PLAINS-HD14 0 215 430 23
Sanders "8-HOT SPRINGS-HD14" 0 313 304 30
Sanders 9-Dixon-HD14 0 99 70 3
Sheridan "1 WESTBY" 0 54 121 3
Sheridan "2 MEDICINE LAKE" 0 164 196 13
Sheridan "3 PLENTYWOOD WEST" 0 156 181 27
Sheridan "4 PLENTYWOOD EAST" 0 183 284 20
Sheridan "5 PLENTYWOOD RURAL WEST" 0 61 127 8
Sheridan "6 PLENTYWOOD RURAL EAST" 0 94 108 12
"Silver Bow" PREC_1 0 128 43 8
"Silver Bow" PREC_10N 0 116 32 4
"Silver Bow" PREC_10S 0 124 35 7
"Silver Bow" PREC_11 0 139 40 3
"Silver Bow" PREC_12E 0 158 66 8
"Silver Bow" PREC_12W 0 122 32 4
"Silver Bow" PREC_14 0 799 184 25
"Silver Bow" PREC_16 0 784 227 22
"Silver Bow" PREC_17 0 600 195 34
"Silver Bow" PREC_18 0 424 125 14
"Silver Bow" PREC_19N 0 221 69 2
"Silver Bow" PREC_19S 0 165 54 3
"Silver Bow" PREC_19W 0 68 30 3
"Silver Bow" PREC_21 0 411 91 18
"Silver Bow" PREC_22 0 862 320 32
"Silver Bow" PREC_26E 0 67 64 3
"Silver Bow" PREC_26W 0 83 71 7
"Silver Bow" PREC_27N 0 46 49 2
"Silver Bow" PREC_27S 0 185 133 15
"Silver Bow" PREC_28 0 68 58 2
"Silver Bow" PREC_29 0 37 41 0
"Silver Bow" PREC_2E 0 381 113 14
"Silver Bow" PREC_2W 0 401 107 23
"Silver Bow" PREC_3 0 310 105 13
"Silver Bow" PREC_4 0 791 250 24
"Silver Bow" PREC_6 0 1213 369 29
"Silver Bow" PREC_8E 0 1213 489 23
