COUNTY AREA TOTAL DEM REP LIB Peterson Writein
COUNTY AREA TOTAL Scholten King Aldrich Peterson Writein
Webster "Fort Dodge #3" 651 366 270 13 2 0
Webster "Fort Dodge #4" 662 353 285 14 10 0
Webster "Fort Dodge #5" 447 224 212 6 5 0
Webster "Fort Dodge #6" 246 142 98 3 2 1
Webster "Fort Dodge #7" 552 359 177 10 6 0
Webster "Fort Dodge #8" 574 382 177 11 4 0
Webster "Fort Dodge #9" 578 335 219 19 4 1
Webster "Fort Dodge #10" 802 431 359 10 2 0
Webster "Fort Dodge #11" 1193 572 595 19 6 1
Webster "Fort Dodge #12" 712 384 306 16 6 0
Webster Fulton 202 72 124 5 1 0
Webster Gowrie 522 202 301 15 4 0
Webster Johnson 182 92 89 1 0 0
Webster "Lost Grove" 203 62 134 5 2 0
Webster Newark 140 58 81 1 0 0
Webster "Otho-Pleasant Valley" 615 265 328 18 4 0
Webster "Sumner-Webster-Yell- Hardin" 379 145 223 7 4 0
Webster "Washington Township" 158 60 93 3 2 0
Winnebago "Buffalo Grant Lincoln" 688 289 375 13 11 0
Winnebago Center 1026 520 462 36 8 0
Winnebago "Eden Logan Norway" 303 131 163 7 1 1
Winnebago "FC3 Forest D3" 438 232 185 13 8 0
Winnebago "Forest City Ward 1" 500 251 232 15 2 0
Winnebago "Forest City Ward 2" 336 181 144 8 3 0
Winnebago "Forest City Ward 4" 336 181 146 3 5 1
Winnebago "King Linden" 330 133 183 11 3 0
Winnebago "Mt. Valley Forest D2" 280 120 146 9 5 0
Winnebago "Newton Forest D1" 360 143 197 13 7 0
Woodbury "1 CHURCH OF JESUS CHRIST" 1161 603 538 15 3 2
Woodbury "2 CROSS POINTE CHURCH" 709 472 212 17 8 0
Woodbury "3 CONCORDIA LUTHERAN" 1142 636 485 16 3 2
Woodbury "4 SIOUXLAND CENTER" 519 365 142 9 2 1
Woodbury "5 RIVERSIDE LUTHERAN" 917 570 327 13 7 0
Woodbury "6 FAITH LUTHERAN CHURCH" 996 633 342 17 3 1
Woodbury "7 BRYANT/CRESCENT PARK" 922 573 330 16 3 0
Woodbury "8 MT. ZION BAPTIST CHURCH" 470 348 114 8 0 0
Woodbury "9 BOYS & GIRLS HOME" 256 168 76 8 4 0
Woodbury "10 FIRST CONGREGATIONAL" 1302 681 590 24 4 3
Woodbury "11 GIRLS INC" 287 187 89 8 3 0
Woodbury "12 ST JOHN LUTHERAN" 1203 723 451 22 7 0
Woodbury "13 SC TRANSIT SYSTEM" 554 310 226 13 5 0
Woodbury "14 BOYS & GIRLS HOME" 532 375 145 9 3 0
Woodbury "15 PEACE REFORMED/CONCORD" 1182 532 629 17 4 0
Woodbury "16 TRIMBLE UNITED METH CH" 917 548 341 21 7 0
Woodbury "17 SC BAPTIST CHURCH" 1207 695 481 22 6 3
Woodbury "18 CALVARY LUTHERAN" 1049 608 422 15 4 0
Woodbury "19 CENTRAL BAPTIST CHURCH" 1325 705 611 7 2 0
Woodbury "20 AUGUSTANA LUTHERAN" 423 312 98 10 2 1
Woodbury "21 M'SIDE LUTHERAN CHURCH" 882 483 377 15 7 0
Woodbury "22 MORNINGSIDE LIBRARY" 1166 682 450 27 7 0
Woodbury "23 IGLESIA RESTAURACION" 968 555 393 17 2 1
Woodbury "24 WASHINGTON HEIGHTS" 1069 596 447 20 6 0
Woodbury "25 M'SIDE COLLEGE EPPLEY" 962 552 388 19 3 0
Woodbury "26 MSIDE BIBLE CHURCH" 1235 631 580 15 8 1
Woodbury "27 ST JAMES UNITED METH." 1143 637 481 20 4 1
Woodbury "28 REDEEMER LUTHERAN" 2496 1191 1268 30 2 5
