COUNTY AREA TOTAL DEM REP LIB GRN AIP PAF
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins DeLaFuente LaRiva
Alameda 831500 2665 1879 648 21 10 9 6
Alameda 831610 1774 1247 427 13 7 4 6
Alameda 831670 0 0 0 0 0 0 0
Alameda 831730 249 165 75 1 1 0 0
Alameda 831810 2997 2105 738 27 16 8 4
Alameda 832000 3886 2725 971 27 31 13 13
Alameda 832200 2507 1760 619 26 12 3 5
Alameda 832500 1566 1066 430 18 10 5 1
Alameda 832600 2393 1590 656 29 14 14 5
Alameda 832800 2429 1710 636 22 8 11 6
Alameda 832810 2023 1446 522 19 5 4 8
Alameda 833210 3025 2135 793 23 20 6 6
Alameda 833410 3269 2325 815 28 22 16 12
Alameda 833510 3964 2692 1133 32 18 14 20
Alameda 833710 1604 1126 416 10 18 5 3
Alameda 834020 5 4 0 0 0 0 0
Alameda 834030 0 0 0 0 0 0 0
Alameda 834200 1385 995 314 9 13 6 1
Alameda 834700 2785 2025 621 26 7 14 8
Alameda 835020 340 219 105 1 1 0 3
Alameda 835050 18 18 0 0 0 0 0
Alameda 835100 2981 2168 668 27 20 7 10
Alameda 835310 1007 760 206 6 7 3 5
Alameda 835500 1080 809 219 9 8 4 3
Alameda 835600 2684 1928 613 25 15 9 7
Alameda 835710 2012 1483 441 16 8 12 3
Alameda 835740 141 110 23 1 0 0 0
Alameda 835800 3333 2430 798 28 16 5 10
Alameda 835830 1469 1120 303 13 6 5 4
Alameda 836010 2798 2009 663 23 15 17 11
Alameda 836210 1835 1343 398 16 9 6 3
Alameda 836310 537 351 173 0 1 1 3
Alameda 836500 3291 2255 898 22 16 11 9
Alameda 837100 3597 2552 900 30 14 8 5
Alameda 837600 3433 2488 822 18 20 12 8
Alameda 837700 2824 2075 637 21 15 7 6
Alameda 837800 943 666 243 5 1 4 2
Alameda 838000 3129 2224 798 21 6 11 5
Alameda 838500 2683 1797 784 15 12 9 5
Alameda 838700 2506 1742 678 17 8 7 5
Alameda 839000 9 6 2 1 0 0 0
Alameda 839120 4 3 1 0 0 0 0
Alameda 839220 2 0 2 0 0 0 0
Alameda 839230 1 1 0 0 0 0 0
Alameda 839240 46 20 24 1 0 0 0
Alameda 839250 3 2 0 0 1 0 0
Alameda 839300 6 1 5 0 0 0 0
Alameda 839310 19 13 4 0 1 0 0
Alameda 839360 6 4 2 0 0 0 0
Alameda 839380 0 0 0 0 0 0 0
Alameda 839500 0 0 0 0 0 0 0
Alameda 839520 0 0 0 0 0 0 0
Alameda 850400 3544 2538 876 39 6 14 12
Alameda 850500 4340 3153 1039 31 15 15 12
Alameda 850700 0 0 0 0 0 0 0
Alameda 850800 4148 3086 930 30 17 18 7
Alameda 851300 4151 2926 1100 36 20 10 8
Alameda 852010 4021 2900 987 28 14 11 6
Alameda 866800 470 296 143 7 6 7 1
Alameda 866810 98 43 52 0 0 0 0
Alameda 866900 0 0 0 0 0 0 0
Alameda 866920 0 0 0 0 0 0 0
Alameda 866930 0 0 0 0 0 0 0
Alameda 867110 32 13 18 0 0 1 0
Alameda 867200 79 47 29 1 0 0 0
Alameda 867320 1 0 0 1 0 0 0
Alameda 870010 678 348 288 11 3 3 0
Alameda 870110 0 0 0 0 0 0 0
Alameda 870120 0 0 0 0 0 0 0
Alameda 870150 0 0 0 0 0 0 0
Alameda 870300 8 4 3 0 0 0 0
Alameda 880200 29 12 16 0 0 0 0
Alameda 880400 0 0 0 0 0 0 0
Alameda 880500 0 0 0 0 0 0 0
Alameda SOV_AD00 0 0 0 0 0 0 0
Alameda SOV_AD15 0 0 0 0 0 0 0
Alameda SOV_AD16 0 0 0 0 0 0 0
Alameda SOV_AD18 0 0 0 0 0 0 0
Alameda SOV_AD20 0 0 0 0 0 0 0
Alameda SOV_AD25 0 0 0 0 0 0 0
Alameda SOV_BE00 0 0 0 0 0 0 0
Alameda SOV_BE02 0 0 0 0 0 0 0
Alameda SOV_CD00 0 0 0 0 0 0 0
Alameda SOV_CD13 0 0 0 0 0 0 0
