COUNTY AREA TOTAL DEM REP LIB CST
COUNTY AREA TOTAL Cunningham Tillis Bray Hayes
CLAY HAYC 0 97 229 7 5
CLAY HIAW 0 301 815 24 10
CLAY SHCR 0 178 754 20 7
CLAY SWEE 0 142 399 8 14
CLAY TUSQ 0 133 404 7 8
CLAY WARN 0 132 426 14 8
CLEVELAND BETHWR 0 329 1055 50 32
CLEVELAND BR 0 945 2588 79 37
CLEVELAND CASAR 0 111 971 23 26
CLEVELAND FALSTN 0 208 969 27 17
CLEVELAND GROVER 0 602 1776 48 31
CLEVELAND KINGST 0 417 251 15 7
CLEVELAND "KM N" 0 1232 2289 87 44
CLEVELAND "KM S" 0 1201 2031 91 47
CLEVELAND LATT 0 441 1578 53 48
CLEVELAND LAWNDL 0 563 729 36 23
CLEVELAND MRB-YO 0 230 905 38 19
CLEVELAND MULLS 0 261 1215 27 29
CLEVELAND OAKGRV 0 574 2126 77 39
CLEVELAND POLKVL 0 342 1474 42 34
CLEVELAND RIPPY 0 826 1822 72 52
CLEVELAND "S 4A" 0 1626 1721 70 48
CLEVELAND "S 5" 0 941 1015 50 32
CLEVELAND "S C" 0 2560 2256 132 54
CLEVELAND "S S" 0 2025 2161 106 72
CLEVELAND SHANGI 0 570 1441 48 28
CLEVELAND WACO 0 748 1649 64 49
COLUMBUS P01A 0 451 674 30 16
COLUMBUS P02B 0 410 280 18 19
COLUMBUS P03 0 99 281 6 4
COLUMBUS P04 0 92 159 4 3
COLUMBUS P05 0 59 243 5 6
COLUMBUS P06 0 162 494 10 13
COLUMBUS P07 0 1030 1041 54 34
COLUMBUS P08 0 27 273 7 5
COLUMBUS P09 0 337 373 16 16
COLUMBUS P10 0 79 533 7 15
COLUMBUS P11 0 134 480 13 10
COLUMBUS P12 0 30 141 2 3
COLUMBUS P13 0 84 370 9 11
COLUMBUS P14 0 1175 1357 68 39
COLUMBUS P15 0 662 893 23 19
COLUMBUS P16B 0 403 775 35 28
COLUMBUS P17 0 517 271 18 8
COLUMBUS P18 0 155 235 4 6
COLUMBUS P19 0 810 824 36 15
COLUMBUS P20A 0 320 200 12 11
COLUMBUS P21 0 271 580 17 10
COLUMBUS P22A 0 468 935 32 21
COLUMBUS P23 0 629 839 26 31
COLUMBUS P24 0 187 1229 25 29
COLUMBUS P25B 0 99 852 15 18
COLUMBUS P26B 0 909 1231 24 34
CRAVEN 02 0 2271 3614 312 135
CRAVEN 03 0 876 2037 69 14
CRAVEN 05 0 722 1191 67 26
CRAVEN 07 0 706 1092 60 22
CRAVEN 11 0 520 1508 74 45
CRAVEN 16 0 953 1986 125 49
CRAVEN 17 0 466 1263 73 32
CRAVEN 19 0 1052 1105 71 29
CRAVEN 20 0 909 1600 65 24
CRAVEN 21 0 711 1729 61 27
CRAVEN 23 0 1492 2618 139 56
CRAVEN CFB8 0 383 733 19 14
CRAVEN CLR4 0 793 859 62 35
CRAVEN DFB9 0 286 356 17 14
CRAVEN N1 0 907 598 38 14
CRAVEN N2 0 1100 341 53 21
CRAVEN N3N5 0 1452 1054 102 45
CRAVEN N4 0 1837 1331 137 62
CRAVEN N6 0 1605 1851 122 57
CRAVEN TE13 0 157 758 34 21
CRAVEN VE14 0 1218 1918 72 49
CUMBERLAND AH49 0 1596 648 81 31
CUMBERLAND AL51 0 1328 2653 103 63
CUMBERLAND CC01 0 1261 191 50 23
CUMBERLAND CC03 0 563 284 60 21
CUMBERLAND CC04 0 467 356 40 9
CUMBERLAND CC06 0 394 417 46 22
CUMBERLAND CC07 0 344 407 33 15
CUMBERLAND CC08 0 403 669 26 13
CUMBERLAND CC10 0 464 311 31 9
CUMBERLAND CC12 0 400 956 37 6
CUMBERLAND CC13 0 950 82 34 10
CUMBERLAND CC14 0 850 1112 71 22
CUMBERLAND CC15 0 851 1100 70 20
CUMBERLAND CC16 0 1348 46 33 12
CUMBERLAND CC17 0 1374 210 39 18
CUMBERLAND CC18 0 441 732 26 13
CUMBERLAND CC21 0 1587 654 92 23
CUMBERLAND CC24 0 607 328 43 22
CUMBERLAND CC25 0 792 510 68 16
CUMBERLAND CC26 0 1773 527 99 25
CUMBERLAND CC27 0 1894 580 123 46
CUMBERLAND CC29 0 990 422 54 39
CUMBERLAND CC31 0 729 503 63 31
CUMBERLAND CC32 0 644 172 45 16
CUMBERLAND CC33 0 1099 574 50 26
CUMBERLAND CC34 0 703 891 60 19
CUMBERLAND CC519 0 1470 201 70 35
CUMBERLAND CL57-1 0 1580 575 110 41
CUMBERLAND CL57-2 0 1741 458 80 35
CUMBERLAND CU02 0 750 543 48 21
CUMBERLAND EO61-1 0 816 1488 71 27
CUMBERLAND EO61-2 0 632 955 39 22
CUMBERLAND G10A 0 1851 1880 131 40
