COUNTY AREA TOTAL DEM REP GRN IND1 IND2 WI1
COUNTY AREA TOTAL Strickland Portman DeMare Connors Rupert Stahl
Belmont "YORKVILLE VILLAGE" 187 74 93 2 7 4 0
Belmont "PEASE TWP 1" 416 113 254 7 12 15 0
Belmont "PULTNEY TWP AVONDALE" 196 60 118 3 3 4 0
Belmont "PULTNEY TWP 4 NEFFS" 761 264 404 15 31 14 0
Belmont "PULTNEY TWP 1" 622 179 393 12 8 2 0
Belmont "PULTNEY TWP 2" 626 204 371 5 11 14 0
Belmont "RICHLAND TWP 1 BANNOCK" 489 106 358 5 4 7 0
Belmont "RICHLAND TWP 2" 625 128 454 7 5 11 0
Belmont "RICHLAND TWP 3" 466 157 275 5 13 5 0
Belmont "RICHLAND TWP 4 LLOYDSVILLE" 616 100 471 6 13 4 0
Belmont "RICHLAND TWP 5" 645 146 459 7 8 9 0
Belmont "RICHLAND TWP 6" 740 162 517 8 13 20 0
Belmont "RICHLAND TWP 7 GLENCOE" 393 120 229 5 15 9 0
Belmont "SMITH TWP CENTERVILLE WARNOCK" 766 164 549 4 14 10 0
Belmont "SOMERSET TWP SOMERTON" 350 68 256 1 8 5 0
Belmont "SOMERSET TWP TEMPERANCEVILLE" 176 30 137 0 1 3 0
Belmont "MORRISTOWN VILLAGE" 123 33 81 1 1 3 0
Belmont "UNION TWP LAFFERTY" 305 90 192 2 2 10 0
Belmont "UNION TWP" 824 170 602 3 13 11 0
Belmont "BARNESVILLE VILLAGE 1" 857 229 555 14 20 13 0
Belmont "BARNESVILLE VILLAGE 2" 513 142 331 7 3 11 0
Belmont "WARREN TWP" 932 248 620 7 11 13 0
Belmont "WASHINGTON TWP" 283 68 184 2 9 6 0
Belmont "WAYNE TWP" 369 75 263 6 10 1 0
Belmont "WHEELING TWP FAIRPOINT" 433 125 266 7 8 8 0
Belmont "WHEELING TWP UNIONTOWN" 419 94 301 1 7 7 0
Belmont "POWHATAN POINT VILLAGE" 668 253 335 13 18 23 0
Belmont "YORK TWP" 468 131 288 7 11 10 0
Belmont "FLUSHING TWP 2" 58 10 38 0 9 1 0
Belmont "PEASE TWP 2" 156 69 72 1 4 0 0
Belmont "BARNESVILLE VILLAGE 3" 414 118 248 4 13 13 0
Brown "BYRD TWP" 357 84 252 3 10 0 0
Brown "FRANKLIN TWP" 831 129 631 11 24 9 0
Brown "GREEN TWP NORTH" 336 55 259 5 4 4 0
Brown "GREEN TWP SOUTH" 474 69 361 10 9 3 0
Brown "MT ORAB SOUTH" 936 170 703 14 10 10 0
Brown "ABERDEEN VILLAGE" 623 126 443 4 14 9 0
Brown "HUNTINGTON TWP" 413 58 324 0 9 3 0
Brown "PERRY / LAKE LORELEI" 641 111 486 9 8 5 0
Brown "PERRY TWP SOUTH" 552 92 413 10 3 9 0
Brown "PERRY TWP WEST" 616 71 481 9 13 19 0
Brown "GEORGETOWN SW" 472 92 349 4 8 5 0
