COUNTY AREA TOTAL DEM REP DeLaFuente Blankenship King Hawkins Jorgensen Pierce West Writein
COUNTY AREA TOTAL Biden Trump DeLaFuente Blankenship King Hawkins Jorgensen Pierce West Writein
Clinton "CLINTON 3-2" 1751 888 824 0 0 0 6 25 0 5 3
Clinton "CLINTON 4-1" 1699 800 864 0 5 0 1 20 1 4 4
Clinton "CLINTON 4-2" 1582 781 769 0 4 0 2 18 0 7 1
Clinton "DEEP CREEK GOOSE LAKE" 406 103 299 0 1 0 1 0 1 1 0
Clinton "DEWITT 1" 1413 655 718 0 1 0 3 30 0 0 6
Clinton "DEWITT 2" 1712 785 895 1 3 2 4 17 0 2 3
Clinton "DEWITT TWP" 919 270 637 0 3 0 1 6 0 0 2
Clinton "EDEN CAMANCHE TWP" 371 125 239 0 0 0 1 5 0 0 1
Clinton "ELK RIVER HAMPSHIRE ANDOVER" 958 326 622 2 1 0 0 5 0 0 2
Clinton "LIBERTY TORONTO" 187 56 127 0 0 0 1 2 0 1 0
Clinton "LOW MOOR" 138 46 89 0 0 0 0 2 0 0 1
Clinton "OLIVE GRANT CALAMUS" 674 174 493 0 1 0 2 4 0 0 0
Clinton "ORANGE GRAND MOUND" 670 232 419 0 1 1 4 12 0 1 0
Clinton "SHARON LOST NATION" 373 112 254 0 0 0 0 4 0 1 2
Clinton "SPRING ROCK WHEATLAND" 607 192 404 0 0 0 1 8 0 1 1
Clinton "WATERFORD CHARLOTTE" 368 105 260 0 1 0 0 2 0 0 0
Clinton "WELTON WASHINGTON WELTON" 557 194 353 0 1 0 1 7 0 1 0
Crawford "Charter Oak" 523 116 401 1 0 0 1 3 0 1 0
Crawford DCAB 766 199 556 0 0 2 1 4 0 2 2
Crawford "Denison 1st Ward" 892 403 480 0 1 1 2 2 0 2 1
Crawford "Denison 2nd Ward and Denison TWP" 989 421 557 0 1 0 2 8 0 0 0
Crawford "Denison 3rd Ward and Goodrich TWP" 1176 408 756 0 0 0 2 6 0 2 2
Crawford Northeast 872 210 652 1 1 0 0 5 1 1 1
