COUNTY AREA TOTAL DEM REP LIB OTH
COUNTY AREA TOTAL Northam Gillespie Hyra Other
"Campbell County" "702 - Gladys" 924 281 637 5 1
"Campbell County" "703 - Morris Church" 446 119 322 4 1
"Campbell County" "Ab - Central Absentee Precinct" 728 213 509 5 1
"Campbell County" Provisional 0 0 0 0 0
"Caroline County" "101 - Bowling Green" 798 286 508 4 0
"Caroline County" "102 - Sparta" 572 218 349 5 0
"Caroline County" "201 - North Madison" 626 334 281 10 1
"Caroline County" "202 - South Madison" 756 366 371 19 0
"Caroline County" "301 - Port Royal" 328 134 190 4 0
"Caroline County" "302 - Woodford" 880 384 483 12 1
"Caroline County" "401 - Dawn" 1120 714 402 4 0
"Caroline County" "402 - Carmel Church" 393 243 147 2 1
"Caroline County" "501 - West Mattaponi" 731 448 279 4 0
"Caroline County" "502 - Milford" 552 245 303 4 0
"Caroline County" "601 - Chilesburg" 701 346 342 13 0
"Caroline County" "602 - Lake" 502 237 257 8 0
"Caroline County" "Ab - Central Absentee Precinct" 400 170 223 7 0
"Caroline County" Provisional 1 1 0 0 0
"Carroll County" "101 - Mt Bethel" 291 62 227 2 0
"Carroll County" "102 - St Paul" 442 76 358 8 0
"Carroll County" "103 - Lambsburg" 254 45 208 1 0
"Carroll County" "105 - Fancy Gap" 421 116 300 5 0
"Carroll County" "201 - Hillsville B" 953 254 695 2 2
"Carroll County" "202 - Laurel Fork" 340 80 258 2 0
"Carroll County" "203 - Gladesboro" 490 121 364 5 0
"Carroll County" "301 - Hillsville C" 966 235 720 11 0
"Carroll County" "302 - Sylvatus" 370 76 294 0 0
"Carroll County" "303 - Dugspur" 199 36 159 4 0
"Carroll County" "402 - Woodlawn D" 716 199 513 4 0
"Carroll County" "403 - Oakland D" 432 81 344 7 0
"Carroll County" "405 - Oakland A" 323 77 241 5 0
"Carroll County" "406 - Woodlawn F" 116 20 94 2 0
"Carroll County" "501 - Vaughan" 250 43 203 4 0
"Carroll County" "502 - Gladeville" 653 114 537 2 0
"Carroll County" "503 - Woodlawn E" 325 51 270 4 0
"Carroll County" "504 - Laurel" 350 51 295 4 0
"Carroll County" "Ab - Central Absentee Precinct" 380 99 279 2 0
"Carroll County" Provisional 6 2 4 0 0
"Charles City County" "101 - Precinct 1-1" 864 495 360 9 0
"Charles City County" "201 - Precinct 2-1" 772 528 242 2 0
"Charles City County" "301 - Precinct 3-1" 858 526 326 6 0
"Charles City County" "Ab - Central Absentee Precinct" 221 149 72 0 0
"Charles City County" Provisional 1 1 0 0 0
"Charlotte County" "101 - County Seat" 566 213 346 7 0
