DIST COUNTY AREA TOTAL DEM REP OTHER
DIST COUNTY AREA TOTAL Dem Rep Other
3 Alachua "33-Ironwood Clubhouse" 0 1649 321 0
3 Alachua "34-Fairbanks Baptist Church" 0 446 570 0
3 Alachua "35-Southwest United Methodist Church" 0 813 575 0
3 Alachua "36-Doyle Conner Building" 0 1795 517 0
3 Alachua "37-Unitarian Universalist Fellowship" 0 1193 736 0
3 Alachua "38-Senior Recreation Center" 0 1774 966 0
3 Alachua "39-Hilton UF Conf. Center" 0 1653 486 0
3 Alachua "4-Newberry United Methodist Church" 0 958 1804 0
3 Alachua "40-University City Church Of Christ" 0 1190 761 0
3 Alachua "41-Oak Dale Baptist Church" 0 1087 1317 0
3 Alachua "42-Tower Road Branch Library" 0 1358 1105 0
3 Alachua "43-Grace United Methodist Church" 0 1604 822 0
3 Alachua "44-Phillips Center for the Perf. Arts" 0 3287 787 0
3 Alachua "45-Trinity United Methodist Church" 0 2952 1995 0
3 Alachua "46-Westside Baptist Church" 0 1914 1545 0
3 Alachua "47-The Family Church" 0 1782 1655 0
3 Alachua "48-Freedom Comm. Center at Kanapaha" 0 1433 708 0
3 Alachua "49-First Baptist Church" 0 824 1173 0
3 Alachua "5-First Lutheran Church" 0 1731 657 0
3 Alachua "50-Westminster Presbyterian Church" 0 1137 452 0
3 Alachua "51-Faith Presbyterian Church" 0 1568 1021 0
3 Alachua "52-Freedom Comm. Center at Kanapaha" 0 1146 411 0
3 Alachua "53-Hathcock Community Center" 0 1291 1156 0
3 Alachua "54-Florida Museum of Natural History" 0 1869 639 0
3 Alachua "55-Gateway Christian Center" 0 834 149 0
3 Alachua "56-Covenant Presbyterian Church" 0 1327 1002 0
3 Alachua "57-Creekside Community Church" 0 1550 753 0
3 Alachua "58-Gainesville Shrine Club" 0 2308 1694 0
3 Alachua "59-Wyndham Garden Hotel" 0 3372 1119 0
3 Alachua "6-Newberry Municipal Building" 0 1059 1654 0
3 Alachua "60-Fellowship Church of High Springs" 0 787 2202 0
