COUNTY AREA TOTAL DEM REP CON IND LIB REF
COUNTY AREA TOTAL Clinton Trump Castle Other Johnson DeLaFuente
Clark 3773 0 434 318 4 5 27 2
Clark 3774 0 359 346 5 32 27 2
Clark 3775 0 295 240 4 12 11 0
Clark 3776 0 0 0 0 0 0 0
Clark 3777 0 1 1 1 1 1 1
Clark 3780 0 549 595 3 43 28 2
Clark 3782 0 184 193 2 13 21 1
Clark 3783 0 508 255 1 24 38 0
Clark 3784 0 449 248 3 28 27 0
Clark 3785 0 361 194 0 16 24 4
Clark 3786 0 605 619 5 36 43 5
Clark 3787 0 489 500 2 29 34 1
Clark 3788 0 454 639 5 24 9 0
Clark 3789 0 383 513 1 20 10 1
Clark 3790 0 397 478 1 16 11 1
Clark 3791 0 477 245 3 19 23 3
Clark 3792 0 388 205 3 7 11 2
Clark 3794 0 463 195 4 16 19 1
Clark 3795 0 378 157 0 14 13 1
Clark 3796 0 108 36 1 5 3 0
Clark 3800 0 331 316 2 12 24 0
Clark 3801 0 298 96 2 4 6 0
Clark 3802 0 418 165 4 17 20 3
Clark 3803 0 21 16 0 2 1 0
Clark 3804 0 580 293 1 24 19 3
Clark 3805 0 54 25 1 1 1 0
Clark 3806 0 242 209 0 18 25 1
Clark 3807 0 488 540 5 32 40 0
Clark 3808 0 366 412 1 20 17 0
Clark 3809 0 429 351 5 12 35 5
Clark 3811 0 643 192 3 23 22 2
Clark 3812 0 107 59 1 3 5 0
Clark 3813 0 609 215 4 21 22 4
Clark 3814 0 364 216 2 11 11 2
Clark 3815 0 390 187 7 19 20 2
Clark 3821 0 0 0 0 0 0 0
Clark 3822 0 14 24 0 1 1 0
Clark 3823 0 12 0 0 0 0 0
Clark 3824 0 160 90 1 2 10 1
Clark 3825 0 1 1 1 1 1 1
Clark 3826 0 158 164 3 5 10 0
Clark 3831 0 35 37 3 1 5 0
Clark 3832 0 1 1 1 1 1 1
Clark 3833 0 166 198 0 5 12 0
Clark 3834 0 475 235 4 19 14 0
Clark 3841 0 826 235 4 29 25 4
Clark 3842 0 505 231 6 19 23 1
Clark 3843 0 703 288 2 25 42 6
Clark 3844 0 386 217 1 18 26 1
Clark 3845 0 50 78 1 1 6 0
Clark 3851 0 0 0 0 0 0 0
Clark 3852 0 71 100 0 7 7 0
Clark 3853 0 21 22 0 2 1 0
Clark 3854 0 437 255 5 14 23 2
Clark 3855 0 779 248 2 29 23 5
Clark 3863 0 386 282 1 17 23 3
Clark 3864 0 587 411 10 28 34 3
Clark 3866 0 120 142 0 10 10 0
Clark 3875 0 0 0 0 0 0 0
Clark 3881 0 0 0 0 0 0 0
Clark 4017 0 652 31 3 12 3 1
Clark 4028 0 608 17 3 10 12 0
Clark 4066 0 42 5 0 1 1 0
Clark 4069 0 61 13 0 1 3 0
Clark 4073 0 12 10 0 0 0 0
Clark 4075 0 0 0 0 0 0 0
Clark 4076 0 1 1 1 1 1 1
Clark 4304 0 688 205 3 18 22 3
Clark 4305 0 857 187 5 21 31 0
Clark 4306 0 842 161 1 21 13 0
Clark 4307 0 713 202 2 10 26 1
Clark 4309 0 549 59 3 9 11 2
Clark 4310 0 579 30 2 8 6 2
Clark 4381 0 378 76 4 4 11 3
Clark 4384 0 443 117 3 10 15 3
Clark 4387 0 834 120 5 21 18 7
Clark 4415 0 320 27 3 4 5 1
Clark 4434 0 30 46 0 1 4 0
Clark 4454 0 1 1 1 1 1 1
Clark 4461 0 775 64 4 18 8 1
Clark 4463 0 43 11 0 0 0 0
Clark 4467 0 411 17 2 4 5 0
Clark 4500 0 377 150 3 8 8 2
Clark 4501 0 715 469 2 26 46 2
Clark 4502 0 458 230 2 23 24 0
Clark 4504 0 947 304 6 26 35 5
Clark 4505 0 551 238 8 16 25 2
Clark 4506 0 528 276 3 12 32 3
Clark 4507 0 858 122 4 23 14 4
Clark 4508 0 472 28 2 11 6 2
Clark 4510 0 313 110 3 10 7 5
Clark 4511 0 0 0 0 0 0 0
Clark 4512 0 220 134 1 15 4 0
Clark 4513 0 243 158 5 4 13 3
Clark 4514 0 647 77 7 14 22 6
Clark 4522 0 300 110 2 9 7 1
Clark 4523 0 457 94 3 17 20 3
Clark 4525 0 458 209 6 14 18 1
Clark 4526 0 499 57 2 6 9 3
Clark 4527 0 832 123 6 18 22 3
Clark 4528 0 845 136 7 25 17 0
Clark 4529 0 530 74 4 12 19 2
Clark 4530 0 506 104 0 11 14 6
Clark 4531 0 767 196 4 28 22 6
Clark 4532 0 465 91 3 9 9 7
Clark 4535 0 635 228 9 14 23 4
Clark 4536 0 723 191 5 20 17 1
Clark 4540 0 347 107 3 8 12 0
Clark 4541 0 643 193 6 17 20 1
