DIST COUNTY AREA TOTAL DEM REP NPA WRITEIN OVERVOTES UNDERVOTES
DIST COUNTY AREA TOTAL DEM REP NPA WRITEIN OVERVOTES UNDERVOTES
20 Broward Z001 1077 1024 53 0 0 1 12
20 Broward Z002 1924 1840 84 0 0 1 34
22 Broward A001 3527 1431 2096 0 0 1 105
22 Broward A002 1017 571 446 0 0 0 53
22 Broward A003 1468 799 669 0 0 0 75
22 Broward A004 1183 646 537 0 0 1 52
22 Broward A005 1339 572 767 0 0 2 49
22 Broward A006 1620 1093 527 0 0 2 65
22 Broward A007 1434 804 630 0 0 1 47
22 Broward A008 412 362 50 0 0 0 18
22 Broward A009 2535 1407 1128 0 0 2 133
22 Broward A010 915 435 480 0 0 0 32
22 Broward A011 1481 1401 80 0 0 2 33
22 Broward A012 1573 926 647 0 0 0 87
22 Broward A013 2631 1404 1227 0 0 2 97
22 Broward A014 2620 1602 1018 0 0 1 101
22 Broward A015 1458 1327 131 0 0 1 48
22 Broward A016 1546 885 661 0 0 1 43
22 Broward A017 464 267 197 0 0 0 19
22 Broward A018 979 818 161 0 0 1 49
22 Broward A019 1357 761 596 0 0 0 54
22 Broward A020 1811 1116 695 0 0 0 67
22 Broward A021 1233 900 333 0 0 1 65
22 Broward A022 1097 951 146 0 0 1 34
22 Broward A023 614 507 107 0 0 0 25
22 Broward A024 884 715 169 0 0 1 51
22 Broward B001 1001 250 751 0 0 0 39
22 Broward B002 1548 534 1014 0 0 0 44
22 Broward B003 1102 404 698 0 0 0 36
22 Broward B004 2060 639 1421 0 0 0 65
22 Broward B005 655 287 368 0 0 1 32
22 Broward B006 646 261 385 0 0 0 18
22 Broward C001 2431 1074 1357 0 0 1 98
22 Broward C002 813 316 497 0 0 0 26
22 Broward C003 838 424 414 0 0 1 46
22 Broward C004 1237 550 687 0 0 0 48
22 Broward C007 430 186 244 0 0 0 13
22 Broward C008 925 414 511 0 0 0 39
22 Broward C009 633 450 183 0 0 0 24
22 Broward C010 1896 1018 878 0 0 1 76
22 Broward C011 1460 651 809 0 0 0 56
22 Broward C012 1358 625 733 0 0 0 55
22 Broward C013 986 468 518 0 0 0 37
22 Broward C014 977 407 570 0 0 0 38
22 Broward C016 2525 1156 1369 0 0 0 101
22 Broward C017 967 374 593 0 0 1 31
22 Broward C018 1319 565 754 0 0 0 57
22 Broward C019 1271 482 789 0 0 0 39
22 Broward C020 80 53 27 0 0 0 7
22 Broward C022 1309 512 797 0 0 1 36
22 Broward C023 4597 2922 1675 0 0 1 136
22 Broward C024 2260 1411 849 0 0 0 86
22 Broward C025 14 7 7 0 0 0 1
22 Broward C026 503 342 161 0 0 0 13
22 Broward C030 1631 896 735 0 0 1 78
22 Broward C031 1650 1020 630 0 0 0 75
22 Broward C032 311 245 66 0 0 1 13
22 Broward C033 654 399 255 0 0 0 27
22 Broward C034 1946 1195 751 0 0 3 69
22 Broward C036 292 228 64 0 0 0 13
22 Broward C037 815 446 369 0 0 0 32
22 Broward C038 152 71 81 0 0 0 3
22 Broward D001 1234 725 509 0 0 0 39
22 Broward D002 1436 1017 419 0 0 0 60
22 Broward D003 1473 918 555 0 0 0 53
22 Broward D004 1146 791 355 0 0 0 44
22 Broward D005 1751 1405 346 0 0 1 58
22 Broward D006 1334 917 417 0 0 2 38
22 Broward D007 32 18 14 0 0 0 0
22 Broward D008 1185 775 410 0 0 0 71
22 Broward D010 594 469 125 0 0 0 25
22 Broward D011 211 165 46 0 0 0 7
22 Broward D014 1113 740 373 0 0 0 46
22 Broward D015 1635 1048 587 0 0 0 63
22 Broward D016 2422 1497 925 0 0 0 105
22 Broward E001 422 353 69 0 0 0 10
22 Broward E002 1936 1391 545 0 0 0 60
22 Broward E003 1655 923 732 0 0 1 53
22 Broward E004 2918 2033 885 0 0 0 69
22 Broward E005 1875 1282 593 0 0 0 79
22 Broward E006 3918 2424 1494 0 0 3 138
22 Broward E007 3106 2043 1063 0 0 1 84
22 Broward E008 2383 1575 808 0 0 1 68
22 Broward E009 1354 836 518 0 0 0 44
22 Broward E010 3300 2120 1180 0 0 2 105
22 Broward E011 2753 1761 992 0 0 3 83
22 Broward E012 1232 846 386 0 0 0 44
22 Broward E013 1941 1224 717 0 0 0 65
22 Broward E014 3004 1741 1263 0 0 1 103
22 Broward E015 1205 669 536 0 0 0 36
22 Broward E016 1461 901 560 0 0 0 36
22 Broward E017 2555 1643 912 0 0 0 70
22 Broward E018 932 508 424 0 0 0 29
22 Broward E019 1514 1078 436 0 0 0 33
22 Broward E020 2760 1844 916 0 0 2 87
22 Broward E021 1516 934 582 0 0 0 62
22 Broward E022 2532 1505 1027 0 0 0 70
22 Broward E023 1671 999 672 0 0 0 49
