COUNTY AREA TOTAL DEM REP LMN GRN Writein
COUNTY AREA TOTAL Klobuchar Newberger Schuller Overby Writein
Carlton "Twin Lakes Twp" 1133 681 425 23 4 0
Carlton Wrenshall 245 165 72 6 0 2
Carlton "Wrenshall Twp" 253 147 100 2 4 0
Carlton Wright 41 22 18 1 0 0
Carver "Benton Twp" 402 174 223 4 1 0
Carver "Camden Twp" 473 171 295 4 3 0
Carver Carver 2218 1228 905 60 24 1
Carver "Chanhassen P-1A" 1707 1042 635 17 13 0
Carver "Chanhassen P-1B" 1844 1088 702 44 9 1
Carver "Chanhassen P-2A" 1412 835 555 9 13 0
Carver "Chanhassen P-2B" 1993 1140 817 26 10 0
Carver "Chanhassen P-3" 2366 1339 981 29 17 0
Carver "Chanhassen P-4" 2341 1368 921 29 22 1
Carver "Chanhassen P-5" 2309 1316 964 23 6 0
Carver "Chaska W-1" 3110 1729 1288 62 30 1
Carver "Chaska W-2" 3646 2128 1461 50 7 0
Carver "Chaska W-3" 2565 1504 937 96 27 1
Carver "Chaska W-4" 2831 1713 1025 66 27 0
