DIST COUNTY AREA TOTAL DEM REP LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Lib Other
10 Suwannee "Precinct 12 - Wellborn" 0 221 1409 0 39
10 Suwannee "Precinct 13 - Branford" 0 221 1520 0 60
10 Suwannee "Precinct 14 - Clayland" 0 116 720 0 27
10 Suwannee "Precinct 15 - Pinegrove" 0 137 830 0 35
10 Suwannee "Precinct 16 - Anchor Church" 0 202 1037 0 40
10 Suwannee "Precinct 2 - Church of God" 0 346 1169 0 75
10 Suwannee "Precinct 3 - Presbyterian Church" 0 282 986 0 54
10 Suwannee "Precinct 4 - Coliseum" 0 303 1477 0 73
10 Suwannee "Precinct 5 - Diagnostic Center" 0 210 900 0 53
10 Suwannee "Precinct 6 - Luraville" 0 168 981 0 36
10 Suwannee "Precinct 7 - Mt. Gilead" 0 126 636 0 24
10 Suwannee "Precinct 8 - Rocky Sink" 0 132 774 0 42
10 Suwannee "Precinct 9 - Dowling Park" 0 190 984 0 81
11 Duval 1301 0 984 1775 0 0
11 Duval 1302 0 857 1801 0 0
11 Duval 1303 0 809 1442 0 0
11 Duval 1304 0 1017 1379 0 0
11 Duval 1305 0 959 1490 0 0
11 Duval 1306 0 978 1128 0 0
11 Duval 1307 0 1036 1489 0 0
11 Duval 1308 0 1164 1401 0 0
11 Duval 1309 0 940 1613 0 0
11 Duval 1310 0 935 1634 0 0
11 Duval 1311 0 1076 2050 0 0
11 Duval 1312 0 901 957 0 0
11 Duval 1313 0 970 2536 0 0
11 Duval 1314 0 277 423 0 0
11 Duval 1315 0 1721 2229 0 0
11 Duval 201 0 1321 1584 0 0
11 Duval 208 0 452 1534 0 0
11 Duval 210 0 256 976 0 0
11 Duval 211 0 1812 2329 0 0
11 Duval 212 0 86 514 0 0
11 Duval 301 0 554 1307 0 0
11 Duval 302 0 695 1088 0 0
11 Duval 310 0 0 0 0 0
11 Duval 311 0 779 1516 0 0
11 Nassau 101 0 1141 1088 0 89
11 Nassau 102 0 2175 3298 0 200
11 Nassau 201 0 1877 3446 0 163
11 Nassau 202 0 1280 2744 0 104
11 Nassau 203 0 837 2390 0 98
11 Nassau 204 0 1897 4217 0 169
11 Nassau 301 0 964 2447 0 90
11 Nassau 302 0 1133 3251 0 136
11 Nassau 303 0 861 2803 0 126
11 Nassau 401 0 675 4059 0 145
11 Nassau 402 0 82 1161 0 43
11 Nassau 403 0 240 2302 0 76
11 Nassau 501 0 787 1746 0 70
11 Nassau 503 0 809 4434 0 165
11 Nassau 504 0 348 2838 0 102
12 Duval 1102 0 190 299 0 0
12 Duval 1105 0 1509 1750 0 0
12 Duval 113 0 2455 2151 0 0
12 Duval 202 0 1814 2690 0 0
12 Duval 203 0 1359 1773 0 0
12 Duval 206 0 1034 2968 0 0
12 Duval 207 0 1718 2567 0 0
12 Duval 209 0 543 1649 0 0
12 Duval 213 0 357 817 0 0
12 Duval 303 0 898 1848 0 0
12 Duval 304 0 438 1358 0 0
12 Duval 305 0 1636 2846 0 0
12 Duval 306 0 1588 1715 0 0
12 Duval 307 0 771 1163 0 0
12 Duval 308 0 453 1027 0 0
12 Duval 309 0 1087 1490 0 0
12 Duval 310 0 737 1722 0 0
12 Duval 312 0 2697 4325 0 0
12 Duval 313 0 1528 2409 0 0
12 Duval 315 0 486 927 0 0
12 Duval 402 0 1295 1562 0 0
12 Duval 403 0 678 1182 0 0
12 Duval 407 0 2254 2580 0 0
12 Duval 408 0 976 2091 0 0
12 Duval 409 0 978 1187 0 0
12 Duval 410 0 1409 1791 0 0
12 Duval 411 0 1546 1969 0 0
12 Duval 412 0 1546 1299 0 0
12 Duval 513 0 411 560 0 0
15 Duval 1009 0 689 463 0 0
15 Duval 1010 0 54 73 0 0
15 Duval 1011 0 15 69 0 0
15 Duval 1014 0 1569 993 0 0
15 Duval 1015 0 1197 907 0 0
15 Duval 1016 0 827 610 0 0
15 Duval 1201 0 562 1728 0 0
15 Duval 1202 0 645 1311 0 0
15 Duval 1203 0 36 304 0 0
15 Duval 1204 0 429 1182 0 0
15 Duval 1205 0 1639 1633 0 0
15 Duval 1206 0 1252 1692 0 0
15 Duval 1207 0 204 511 0 0
15 Duval 1208 0 1208 1337 0 0
15 Duval 1209 0 642 2136 0 0
15 Duval 1210 0 888 1255 0 0
15 Duval 1211 0 2349 2040 0 0
15 Duval 1212 0 2773 2380 0 0
15 Duval 1213 0 1796 1755 0 0
15 Duval 1401 0 999 1099 0 0
15 Duval 1402 0 1038 1304 0 0
15 Duval 1403 0 976 1072 0 0
15 Duval 1404 0 1972 1813 0 0
15 Duval 1406 0 526 781 0 0
15 Duval 1408 0 1065 1729 0 0
15 Duval 1409 0 1655 2194 0 0
15 Duval 1410 0 1742 1762 0 0
15 Duval 1411 0 1152 3628 0 0
15 Duval 1412 0 560 539 0 0
15 Duval 1413 0 1913 1304 0 0
15 Duval 1415 0 1080 853 0 0
15 Duval 810 0 171 779 0 0
15 Duval 814 0 31 337 0 0
15 Duval 901 0 0 0 0 0
15 Duval 905 0 1027 592 0 0
15 Duval 906 0 479 651 0 0
15 Duval 907 0 678 636 0 0
15 Duval 913 0 1022 547 0 0
15 Duval 914 0 2140 1361 0 0
16 Duval 1101 0 455 485 0 0
16 Duval 1103 0 1242 1423 0 0
16 Duval 1104 0 1970 2149 0 0
16 Duval 1106 0 2402 2852 0 0
16 Duval 1107 0 525 916 0 0
16 Duval 1108 0 1520 1158 0 0
16 Duval 1109 0 448 1295 0 0
16 Duval 1110 0 2704 3115 0 0
16 Duval 1111 0 919 498 0 0
16 Duval 1112 0 1440 1594 0 0
16 Duval 1113 0 1745 969 0 0
16 Duval 1114 0 1690 1255 0 0
16 Duval 1115 0 1689 1888 0 0
16 Duval 1116 0 619 1100 0 0
16 Duval 503 0 1151 672 0 0
16 Duval 504 0 647 873 0 0
16 Duval 505 0 767 1320 0 0
16 Duval 507 0 820 538 0 0
16 Duval 508 0 1638 2360 0 0
16 Duval 509 0 1332 2053 0 0
16 Duval 510 0 1136 1625 0 0
16 Duval 511 0 174 158 0 0
16 Duval 512 0 1846 1731 0 0
16 Duval 513 0 225 297 0 0
16 Duval 601 0 820 2146 0 0
16 Duval 602 0 1338 2221 0 0
16 Duval 603 0 1207 2042 0 0
16 Duval 604 0 461 1136 0 0
16 Duval 605 0 985 2420 0 0
16 Duval 606 0 1504 3214 0 0
16 Duval 607 0 631 1011 0 0
16 Duval 608 0 1986 3000 0 0
